ebagdc fb edfgabc gadcb
bd abegf dbe deb
cbgeda efdbg edacgbf feb
fadgcbe af bgdfcea af
acfgbed eb afbe eabf
agcfd fbdac gfd egbafdc
gc efacbgd agdeb cfbg
abdg dbag edcfg fbegadc
ef gdaceb befcgd gdcfbe
gacfbe bdagef cgaebd adfb
bfd bfec debafc acbfd
gdcef cdbag gaf gcfde
befc cfbe efbc bcd
aced dgbce cab gafdb
fdgb gecadb gd gdc
bed cgbe ebd efbgdca
fcb abcdef cfb fb
ebc fdcbgea eb fcedbag
bfacegd fdceagb fbed gcebfad
cdabgf edfacgb acbgde febacdg
bdagfce gfd bfdcge geacdfb
dcgaeb fcdgabe aec afdbe
feacd eg gcde feg
bfc fc cdebg cgfd
cfdbe afgcdb dfcebga dgec
dba bdafegc decba bad
cedfg eg fcade eg
bcdgeaf ec cebadfg ce
eaf dcbea acgdbe dfcbega
db bcdg dgfba dbgc
eac egbcdfa ae dfea
bage cae ace ageb
bcd cd bagde bafcg
acegdfb fdbcga eb becaf
cbfgeda cdf df fdae
cdgefab bc cbfead cgaefd
bc bc dbfecga cb
eacfbg efb feb bf
agdfebc af abegcdf baf
efdab fedab gb gcba
dfeac bdc cbd gabc
fecda bd agbd db
cfbedga abc deabgfc bca
cbf fb dgabce fbc
egdc acegbdf agfbcd cbgfe
gdfabc ce agefdbc ec
cgb bg adecg acged
cbafegd gdacebf cega eg
bagcfe fae adfcbg cadbf
dba bcea ab cfagbed
dfgcab cfgbad afg dceagb
eca adgfcb eca eafg
fecbg cgedbaf gdcfba bae
bfgdeca gcbea acedgbf ef
edbc feabcg gcefdba adc
eg eg edgfbc efabd
fa acdfbge gdcaebf dbacg
ae ea fcagb eafdcbg
bd feacbdg bd gedbfa
cfabge fe dfabg bfdea
bgac dcfge egcbdfa dabfcge
acbdgfe fegcabd dafbc dcgbefa
dbfcage cdebf dg dg
afcdgeb fda fda bfagecd
gcedf bcfeadg cdeb eafdg
aef afdbceg ea dgeafc
gf gf gfce febdc
bcfe efbc fc efdcgb
gadce gdefb abgc fedcba
ge bgfdca eg fegadc
fe efgc cabegd fe
gabe cfega fbdceg eg
agcdfeb ecbfg gedabc ae
ecd gacfdb becg ec
dgface efc ec ec
bgef gecbfd gb bgfdce
bdecagf gbfea ebgcaf cb
abdg cbedg gdabce cdbeg
gdeb fcgadeb bfecd cdagbef
cfgead gefdcab bdcgae cbae
bdg fdeg dg cafbdg
cbgfea cfgadeb gdabfce egcdaf
aefb dcfbage bedfcga fb
cdg fbdge ecdgb eadgfbc
ea cafbdeg fgcab acgfe
fdbgce eadbf cgedb fbcg
bd bfega bedgca cbaegf
be bfecdga defcgba be
cf bfgcde gdaefbc cfb
ebdagcf dfea fcaedb cbfgad
gfca fcga dcgefb gfcaebd
gdfa fcd eabfcg fd
afbge eacfbdg bgecfa fabge
fecgd gcdef ecfdbga daecfg
abdcfge edag edfbc cfdga
fdecg fade fade cadefbg
gdfecb afegbdc gfa gaf
edbgac adgbc bge cefgba
bagc bdeaf bfgdc abcg
gfbdca fdac gdfabec bagfcde
dabcfeg gcfeda adbc ade
gfebdac agd dgaef dga
dcbef faedgc edc begfd
ac cdfabe bcgdf gdfceab
cfd dcf df fegdcab
fb bgfe gebf dacbegf
ecdf ef fcbgae fced
ea ebcgd dbcegfa dea
efca face fe cefa
bfcaegd dbafge abedg geabd
egdc gcdfb bcgdf ce
bgaefc efadg gbcafe bfd
cedag dfce cedfgba aef
dbceafg ebfcad bdacfe dca
bagfdc ae feabc edcgfa
gcbaedf geacbdf gafcebd cgefba
egcbf ca cfgabde abc
acbdef cef ce eacbfdg
aebd aedb bead cdbfgae
adbfegc eadgbfc dcegafb bfdc
beg fgedbac eagf eagdfcb
cbf bgfca fbc fcb
gbced bc dgefc bc
efgacd bef ebcgf fbe
ced ebgcafd ed bgdaec
fb gabcef efcdb gdcebf
bfecga efgbdac fbegc faec
acdbfeg dgab abc dgbfcea
ebcd gdefab ebdc ebafdcg
